			
			
"Congressional committee chairmen"			
"Congressional committee jurisdiction"			
"Congressional committee membership"			
"Congressional committee staffing"			
"Congressional committees"			
"Congressional committees"			
"Congressional committees (House)"			
"Congressional committees (Senate)"			
"Congressional conference committees"			
"Congressional joint committees"		"Joint Committee on Printing"	
"Congressional joint committees"		"Joint Committee on Taxation"	
"Congressional joint committees"		"Joint Committee on the Library"	
"Congressional joint committees"		"Joint Economic Committee"	
"House Administration"			
"House Agriculture"		"House Committee on Agriculture"	
"House Agriculture"		"House Committee on Agriculture"	
"House Agriculture"	"21st Century Competitiveness"	"House Committee on Agriculture"	
"House Agriculture"	"Conservation, Credit, Rural Development and Research"	"House Committee on Agriculture"	"Conservation, Credit, Rural Development, and Research"
"House Agriculture"	"Conservation, Credit, Rural Development, and Research"	"House Committee on Agriculture"	"Conservation, Credit, Rural Development, and Research"
"House Agriculture"	"Crime, Terrorism, and Homeland Security"	"House Committee on Agriculture"	
"House Agriculture"	"Department Operations, Oversight, Dairy, Nutrition, and Forestry"	"House Committee on Agriculture"	"Department Operations, Oversight, Dairy, Nutrition, and Forestry"
"House Agriculture"	"Department Operations, Oversight, Nutrition and Forestry"	"House Committee on Agriculture"	"Department Operations, Oversight, Dairy, Nutrition, and Forestry"
"House Agriculture"	"Domestic and International Monetary Policy, Trade, and Technology"	"House Committee on Agriculture"	
"House Agriculture"	"Education Reform"	"House Committee on Agriculture"	
"House Agriculture"	"Energy"	"House Committee on Agriculture"	
"House Agriculture"	"Energy and Air Quality"	"House Committee on Agriculture"	
"House Agriculture"	"Energy and Mineral Resources"	"House Committee on Agriculture"	
"House Agriculture"	"Environment and Hazardous Materials"	"House Committee on Agriculture"	
"House Agriculture"	"Farm Commodities and Risk Management"	"House Committee on Agriculture"	"General Farm Commodities and Risk Management"
"House Agriculture"	"Fisheries and Oceans"	"House Committee on Agriculture"	
"House Agriculture"	"Forests and Forest Health"	"House Committee on Agriculture"	
"House Agriculture"	"Health"	"House Committee on Agriculture"	
"House Agriculture"	"Health, for a period to be subsequently determined by the Chairman"	"House Committee on Agriculture"	
"House Agriculture"	"Health, for a period to be subsequently determined by the Chairman "	"House Committee on Agriculture"	
"House Agriculture"	"Housing and Community Opportunity"	"House Committee on Agriculture"	
"House Agriculture"	"Human Resources"	"House Committee on Agriculture"	
"House Agriculture"	"Immigration, Border Security, and Claims"	"House Committee on Agriculture"	
"House Agriculture"	"Livestock and Horticulture"	"House Committee on Agriculture"	"Livestock and Horticulture"
"House Agriculture"	"National Parks"	"House Committee on Agriculture"	
"House Agriculture"	"Research"	"House Committee on Agriculture"	
"House Agriculture"	"Specialty Crops and Foreign Agriculture Programs"	"House Committee on Agriculture"	"Specialty Crops and Foreign Agriculture Programs"
"House Agriculture"	"Trade"	"House Committee on Agriculture"	
"House Agriculture"	"Water Resources and Environment"	"House Committee on Agriculture"	
"House Agriculture"	"Water and Power"	"House Committee on Agriculture"	
"House Agriculture"	"Workforce Protections"	"House Committee on Agriculture"	
"House Appropriations"		"House Committee on Appropriations"	
"House Appropriations"		"House Committee on Appropriations"	"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies"
"House Appropriations"		"House Committee on Appropriations"	"Defense"
"House Appropriations"		"House Committee on Appropriations"	"Energy and Water Development, and Related Agencies"
"House Appropriations"		"House Committee on Appropriations"	"Foreign Operations, Export Financing, and Related Programs"
"House Appropriations"		"House Committee on Appropriations"	"Homeland Security"
"House Appropriations"		"House Committee on Appropriations"	"Interior, Environment, and Related Agencies"
"House Appropriations"		"House Committee on Appropriations"	"Labor, Health and Human Services, Education, and Related Agencies"
"House Appropriations"		"House Committee on Appropriations"	"Military Quality of Life and Veterans Affairs, and Related Agencies"
"House Appropriations"		"House Committee on Appropriations"	"Science, The Departments of State, Justice, and Commerce, and Related Agencies"
"House Appropriations"		"House Committee on Appropriations"	"Transportation, Treasury, HUD, The Judiciary, District of Columbia, and Independent Agencies"
"House Armed Services"		"House Committee on Armed Services"	
"House Armed Services"		"House Committee on Armed Services"	
"House Armed Services"	" Projection Forces"	"House Committee on Armed Services"	"Projection Forces"
"House Armed Services"	"Africa, Global Human Rights and International Relations"	"House Committee on Armed Services"	
"House Armed Services"	"Coast Guard and Maritime Transportation"	"House Committee on Armed Services"	
"House Armed Services"	"Crime, Terrorism, and Homeland Security"	"House Committee on Armed Services"	
"House Armed Services"	"Department Operations, Oversight, Nutrition and Forestry"	"House Committee on Armed Services"	
"House Armed Services"	"Disability Assistance and Memorial Affairs"	"House Committee on Armed Services"	
"House Armed Services"	"Domestic and International Monetary Policy, Trade, and Technology"	"House Committee on Armed Services"	
"House Armed Services"	"Economic Opportunity"	"House Committee on Armed Services"	
"House Armed Services"	"Education Reform"	"House Committee on Armed Services"	
"House Armed Services"	"Employer-Employee Relations"	"House Committee on Armed Services"	
"House Armed Services"	"Energy and Air Quality"	"House Committee on Armed Services"	
"House Armed Services"	"Environment and Hazardous Materials"	"House Committee on Armed Services"	
"House Armed Services"	"Health"	"House Committee on Armed Services"	
"House Armed Services"	"Health, for a period to be subsequently determined by the Chairman"	"House Committee on Armed Services"	
"House Armed Services"	"Highways, Transit and Pipelines"	"House Committee on Armed Services"	
"House Armed Services"	"Immigration, Border Security, and Claims"	"House Committee on Armed Services"	
"House Armed Services"	"Military Personnel"	"House Committee on Armed Services"	"Military Personnel"
"House Armed Services"	"National Parks"	"House Committee on Armed Services"	
"House Armed Services"	"Railroads"	"House Committee on Armed Services"	
"House Armed Services"	"Readiness"	"House Committee on Armed Services"	"Readiness"
"House Armed Services"	"Space and Aeronautics"	"House Committee on Armed Services"	
"House Armed Services"	"Strategic Forces"	"House Committee on Armed Services"	"Strategic Forces"
"House Armed Services"	"Tactical Air and Land Forces"	"House Committee on Armed Services"	"Tactical Air and Land Forces"
"House Armed Services"	"Terrorism, Unconventional Threats and Capabilities"	"House Committee on Armed Services"	"Terrorism, Unconventional Threats and Capabilities"
"House Armed Services"	"Trade"	"House Committee on Armed Services"	
"House Armed Services"	"Water and Power"	"House Committee on Armed Services"	
"House Armed Services"	"the Western Hemisphere"	"House Committee on Armed Services"	
"House Budget"		"House Committee on the Budget"	
"House Budget"		"House Committee on the Budget"	
"House Education and the Workforce"		"House Committee on Education and the Workforce"	
"House Education and the Workforce"		"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"21st Century Competitiveness"	"House Committee on Education and the Workforce"	"21st Century Competitiveness"
"House Education and the Workforce"	"Commerce, Trade and Consumer Protection"	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"Commerce, Trade and Consumer Protection, for a period to be subsequently determined by the Chairman"	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"Conservation, Credit, Rural Development, and Research"	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"Crime, Terrorism, and Homeland Security"	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"Department Operations, Oversight, Nutrition and Forestry"	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"Economic Development, Public Buildings and Emergency Management"	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"Economic Security, Infrastructure Protection, and Cybersecurity"	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"Education Reform"	"House Committee on Education and the Workforce"	"Education Reform"
"House Education and the Workforce"	"Employer-Employee Relations"	"House Committee on Education and the Workforce"	"Employer-Employee Relations"
"House Education and the Workforce"	"Energy and Air Quality"	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"Energy and Air Quality, for a period to be subsequently determined by the Chairman"	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"Environment, Technology, and Standards"	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"Financial Institutions and Consumer Credit"	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"Health"	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"Health, for a period to be subsequently determined by the Chairman"	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"Health, for a period to be subsequently determined by the Chairman "	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"Highways, Transit and Pipelines"	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"Housing and Community Opportunity"	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"Human Resources"	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"Immigration, Border Security, and Claims"	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"Livestock and Horticulture"	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"Military Personnel"	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"National Parks"	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"Research"	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"Select Education"	"House Committee on Education and the Workforce"	"Select Education"
"House Education and the Workforce"	"Space and Aeronautics"	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"Telecommunications and the Internet"	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"Terrorism, Unconventional Threats and Capabilities"	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"Trade"	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"Water Resources and Environment"	"House Committee on Education and the Workforce"	
"House Education and the Workforce"	"Workforce Protections"	"House Committee on Education and the Workforce"	"Workforce Protections"
"House Education and the Workforce"	"the Constitution"	"House Committee on Education and the Workforce"	
"House Energy and Commerce"		"House Committee on Energy and Commerce"	
"House Energy and Commerce"		"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"21st Century Competitiveness"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Africa, Global Human Rights and International Relations"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Capital Markets, Insurance and Government Sponsored Enterprises"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Commerce, Trade and Consumer Protection"	"House Committee on Energy and Commerce"	"Commerce, Trade, and Consumer Protection"
"House Energy and Commerce"	"Commerce, Trade and Consumer Protection, for a period to be subsequently determined by the Chairman "	"House Committee on Energy and Commerce"	"Commerce, Trade, and Consumer Protection"
"House Energy and Commerce"	"Commercial and Administrative Law"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Courts, the Internet, and Intellectual Property"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Crime, Terrorism, and Homeland Security"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Department Operations, Oversight, Nutrition and Forestry"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Domestic and International Monetary Policy, Trade, and Technology"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Economic Development, Public Buildings and Emergency Management"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Economic Opportunity"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Economic Security, Infrastructure Protection, and Cybersecurity"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Education Reform"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Employer-Employee Relations"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Energy"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Energy and Air Quality"	"House Committee on Energy and Commerce"	"Energy and Air Quality"
"House Energy and Commerce"	"Energy and Air Quality, for a period to be subsequently determined by the Chairman"	"House Committee on Energy and Commerce"	"Energy and Air Quality"
"House Energy and Commerce"	"Energy and Mineral Resources"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Environment and Hazardous Materials"	"House Committee on Energy and Commerce"	"Environment and Hazardous Materials"
"House Energy and Commerce"	"Environment, Technology, and Standards"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Financial Institutions and Consumer Credit"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Health"	"House Committee on Energy and Commerce"	"Health"
"House Energy and Commerce"	"Health, for a period to be subsequently determined by the Chairman"	"House Committee on Energy and Commerce"	"Health"
"House Energy and Commerce"	"Highways, Transit and Pipelines"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Human Resources"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Immigration, Border Security, and Claims"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Livestock and Horticulture"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Livestock and Horticulture "	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Management, Integration, and Oversight"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Military Personnel"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"		"House Committee on Energy and Commerce"	"Oversight and Investigations"
"House Energy and Commerce"	"Readiness"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Research"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Select Education"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Social Security"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Strategic Forces"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Telecommunications and the Internet"	"House Committee on Energy and Commerce"	"Telecommunications and the Internet"
"House Energy and Commerce"	"Terrorism, Unconventional Threats and Capabilities"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Trade"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Water Resources and Environment"	"House Committee on Energy and Commerce"	
"House Energy and Commerce"	"Workforce Protections"	"House Committee on Energy and Commerce"	
"House Financial Services"		"House Committee on Financial Services"	
"House Financial Services"		"House Committee on Financial Services"	
"House Financial Services"	"Africa, Global Human Rights and International Relations"	"House Committee on Financial Services"	
"House Financial Services"	"Capital Markets, Insurance and Government Sponsored Enterprises"	"House Committee on Financial Services"	"Capital Markets, Insurance, and Government Sponsored Enterprises"
"House Financial Services"	"Commerce, Trade and Consumer Protection"	"House Committee on Financial Services"	
"House Financial Services"	"Commercial and Administrative Law"	"House Committee on Financial Services"	
"House Financial Services"	"Conservation, Credit, Rural Development and Research"	"House Committee on Financial Services"	
"House Financial Services"	"Crime, Terrorism, and Homeland Security"	"House Committee on Financial Services"	
"House Financial Services"	"Domestic and International Monetary Policy, Trade and Technology"	"House Committee on Financial Services"	"Domestic and International Monetary Policy, Trade, and Technology"
"House Financial Services"	"Domestic and International Monetary Policy, Trade, and Technology"	"House Committee on Financial Services"	"Domestic and International Monetary Policy, Trade, and Technology"
"House Financial Services"	"Economic Development, Public Buildings and Emergency Management"	"House Committee on Financial Services"	
"House Financial Services"	"Economic Opportunity"	"House Committee on Financial Services"	
"House Financial Services"	"Economic Security, Infrastructure Protection, and Cybersecurity"	"House Committee on Financial Services"	
"House Financial Services"	"Education Reform"	"House Committee on Financial Services"	
"House Financial Services"	"Energy and Air Quality"	"House Committee on Financial Services"	
"House Financial Services"	"Energy and Mineral Resources"	"House Committee on Financial Services"	
"House Financial Services"	"Environment and Hazardous Materials"	"House Committee on Financial Services"	
"House Financial Services"	"Farm Commodities and Risk Management"	"House Committee on Financial Services"	
"House Financial Services"	"Financial Institutions and Consumer Credit"	"House Committee on Financial Services"	"Financial Institutions and Consumer Credit"
"House Financial Services"	"Health"	"House Committee on Financial Services"	
"House Financial Services"	"Health, for a period to be subsequently determined by the Chairman"	"House Committee on Financial Services"	
"House Financial Services"	"Health, for a period to be subsequently determined by the Chairman "	"House Committee on Financial Services"	
"House Financial Services"	"Housing and Community Opportunity"	"House Committee on Financial Services"	"Housing and Community Opportunity"
"House Financial Services"	"Human Resources"	"House Committee on Financial Services"	
"House Financial Services"	"Immigration, Border Security, and Claims"	"House Committee on Financial Services"	
"House Financial Services"	"Middle East and Central Asia"	"House Committee on Financial Services"	
"House Financial Services"		"House Committee on Financial Services"	"Oversight and Investigations"
"House Financial Services"	"Research"	"House Committee on Financial Services"	
"House Financial Services"	"Social Security"	"House Committee on Financial Services"	
"House Financial Services"	"Space and Aeronautics"	"House Committee on Financial Services"	
"House Financial Services"	"Trade"	"House Committee on Financial Services"	
"House Financial Services"	"Water Resources and Environment"	"House Committee on Financial Services"	
"House Financial Services"	"Workforce Protections"	"House Committee on Financial Services"	
"House Financial Services"	"the Constitution"	"House Committee on Financial Services"	
"House Government Reform"		"House Committee on Government Reform"	
"House Government Reform"		"House Committee on Government Reform"	"Criminal Justice, Drug Policy and Human Resources"
"House Government Reform"	"Economic Development, Public Buildings and Emergency Management"	"House Committee on Government Reform"	
"House Government Reform"	"Energy and Air Quality"	"House Committee on Government Reform"	"Energy and Resources"
"House Government Reform"	"Federal Workforce and Agency Organization"	"House Committee on Government Reform"	"Federal Workforce and Agency Organization"
"House Government Reform"	"Federalism and the Census"	"House Committee on Government Reform"	"Federalism and the Census"
"House Government Reform"		"House Committee on Government Reform"	"Government Management, Finance, and Accountability"
"House Government Reform"		"House Committee on Government Reform"	"National Security, Emerging Threats and International Relations"
"House Government Reform"		"House Committee on Government Reform"	"Regulatory Affairs"
"House Government Reform"	"the Constitution"	"House Committee on Government Reform"	
"House Homeland Security"		"House Committee on Homeland Security"	
"House Homeland Security"		"House Committee on Homeland Security"	
"House Homeland Security"	"21st Century Competitiveness"	"House Committee on Homeland Security"	
"House Homeland Security"	"Coast Guard and Maritime Transportation"	"House Committee on Homeland Security"	
"House Homeland Security"	"Commerce, Trade and Consumer Protection, for a period to be subsequently determined by the Chairman"	"House Committee on Homeland Security"	
"House Homeland Security"	"Crime, Terrorism, and Homeland Security"	"House Committee on Homeland Security"	
"House Homeland Security"	"Department Operations, Oversight, Nutrition and Forestry"	"House Committee on Homeland Security"	
"House Homeland Security"	"Economic Development, Public Buildings and Emergency Management"	"House Committee on Homeland Security"	
"House Homeland Security"	"Economic Security, Infrastructure Protection, and Cybersecurity"	"House Committee on Homeland Security"	"Economic Security, Infrastructure Protection, and Cybersecurity"
"House Homeland Security"	"Economic Security, infrastructure Protection, and Cybersecurity"	"House Committee on Homeland Security"	"Economic Security, Infrastructure Protection, and Cybersecurity"
"House Homeland Security"	"Emergency Preparedness, Science, and Technology"	"House Committee on Homeland Security"	"Emergency Preparedness, Science, and Technology"
"House Homeland Security"	"Energy and Air Quality"	"House Committee on Homeland Security"	
"House Homeland Security"	"Environment and Hazardous Materials"	"House Committee on Homeland Security"	
"House Homeland Security"	"Health"	"House Committee on Homeland Security"	
"House Homeland Security"	"Health, for a period to be subsequently determined by the Chairman"	"House Committee on Homeland Security"	
"House Homeland Security"	"Highways, Transit and Pipelines"	"House Committee on Homeland Security"	
"House Homeland Security"	"Immigration, Border Security, and Claims"	"House Committee on Homeland Security"	
"House Homeland Security"	"Intelligence, Information Sharing, and Terrorism Risk Assessment"	"House Committee on Homeland Security"	"Intelligence, Information Sharing, and Terrorism Risk Assessment"
"House Homeland Security"		"House Committee on Homeland Security"	"Investigations"
"House Homeland Security"	"Management, Integration and Oversight"	"House Committee on Homeland Security"	"Management, Integration, and Oversight"
"House Homeland Security"	"Management, Integration, and Oversight"	"House Committee on Homeland Security"	"Management, Integration, and Oversight"
"House Homeland Security"	"Prevention of Nuclear and Biological Attack"	"House Committee on Homeland Security"	"Prevention of Nuclear and Biological Attack"
"House Homeland Security"	"Railroads"	"House Committee on Homeland Security"	
"House Homeland Security"	"Telecommunications and the Internet"	"House Committee on Homeland Security"	
"House Homeland Security"	"Terrorism, Unconventional Threats and Capabilities"	"House Committee on Homeland Security"	
"House Homeland Security"	"Trade"	"House Committee on Homeland Security"	
"House House Administration"		"House Committee on House Administration"	
"House House Administration"		"House Committee on House Administration"	
"House House Administration"	"National Parks"	"House Committee on House Administration"	
"House Intelligence (Permanent Select)"		"House Permanent Select Committee on Intelligence"	
"House Intelligence (Permanent Select)"		"House Permanent Select Committee on Intelligence"	"Intelligence Policy"
"House Intelligence (Permanent Select)"		"House Permanent Select Committee on Intelligence"	"Oversight"
"House Intelligence (Permanent Select)"		"House Permanent Select Committee on Intelligence"	"Technical and Tactical Intelligence"
"House Intelligence (Permanent Select)"	"Crime, Terrorism, and Homeland Security"	"House Permanent Select Committee on Intelligence"	"Terrorism, Human Intelligence, Analysis and Counterintelligence"
"House International Relations"		"House Committee on International Relations"	
"House International Relations"		"House Committee on International Relations"	
"House International Relations"	"Africa, Global Human Rights and International Operations"	"House Committee on International Relations"	"Africa, Global Human Rights and International Operations"
"House International Relations"	"Africa, Global Human Rights and International Relations"	"House Committee on International Relations"	"Africa, Global Human Rights and International Operations"
"House International Relations"	"Asia and the Pacific"	"House Committee on International Relations"	"Asia and the Pacific"
"House International Relations"	"Domestic and International Monetary Policy, Trade, and Technology"	"House Committee on International Relations"	
"House International Relations"	"Europe and Emerging Threats"	"House Committee on International Relations"	"Europe and Emerging Threats"
"House International Relations"	"Financial Institutions and Consumer Credit"	"House Committee on International Relations"	
"House International Relations"	"International Terrorism and Nonproliferation"	"House Committee on International Relations"	"International Terrorism and Nonproliferation"
"House International Relations"	"Middle East and Central Asia"	"House Committee on International Relations"	"The Middle East and Central Asia"
"House International Relations"		"House Committee on International Relations"	"Oversight and Investigations"
"House International Relations"	"Select Education"	"House Committee on International Relations"	
"House International Relations"	"Strategic Forces"	"House Committee on International Relations"	
"House International Relations"	"Water Resources and Environment"	"House Committee on International Relations"	
